reaction_id	pathway_ids (KEGG and Metacyc
rxn09147	
rxn09148	
rxn09149	
rxn09150	
rxn09151	
rxn09152	
rxn09153	
rxn09154	
rxn09155	
rxn09156	
rxn09157	
rxn09158	
rxn09159	
rxn09160	
rxn09161	
rxn09162	
rxn09163	
rxn09164	
rxn09165	
rxn09166	
rxn09167	PWY-7544	PWY-7545
rxn09169	
rxn09170	
rxn09171	
rxn09172	
rxn09174	P108-PWY	PWY-5088	PWY-7384	PWY-7389	PWY0-43
rxn09176	
rxn09177	COA-PWY	PANTOSYN-PWY	rn00770
rxn09179	
rxn09180	
rxn09182	
rxn09183	
rxn09184	
rxn09185	
rxn09187	
rxn09188	rn00330
rxn09189	
rxn09190	
rxn09191	
rxn09192	
rxn09193	
rxn09195	
rxn09196	
rxn09197	
rxn09198	
rxn09199	
rxn09200	
rxn09201	
rxn09202	
rxn09203	
rxn09204	
rxn09205	
rxn09206	
rxn09207	
rxn09208	
rxn09209	
rxn09210	
rxn09211	
rxn09212	
rxn09213	
rxn09214	
rxn09215	
rxn09216	
rxn09217	
rxn09218	
rxn09219	
rxn09220	
rxn09221	
rxn09222	
rxn09223	
rxn09225	
rxn09227	
rxn09228	
rxn09229	
rxn09230	
rxn09231	
rxn09232	
rxn09233	
rxn09234	
rxn09235	
rxn09236	
rxn09237	
rxn09238	
rxn09240	
rxn09242	
rxn09243	
rxn09244	rn00450	rn00970
rxn09245	
rxn09246	
rxn09247	
rxn09248	
rxn09249	
rxn09256	
rxn09257	
rxn09258	
rxn09259	
rxn09260	
rxn09261	
rxn09263	
rxn09264	PWY-6117
rxn09265	
rxn09266	
rxn09269	
rxn09270	
rxn09271	
rxn09272	PWY-3781	PWY-4302	PWY-7279	PWY0-1329	PWY0-1353	PWY66-398
rxn09273	
rxn09274	
rxn09275	
rxn09276	
rxn09277	
rxn09278	
rxn09280	
rxn09283	
rxn09284	
rxn09285	
rxn09286	
rxn09287	
rxn09288	
rxn09289	
rxn09292	
rxn09293	
rxn09295	
rxn09296	
rxn09297	
rxn09298	
rxn09299	
rxn09300	
rxn09301	
rxn09303	
rxn09304	
rxn09305	
rxn09306	
rxn09307	
rxn09308	
rxn09309	
rxn09310	
rxn09313	
rxn09314	
rxn09315	
rxn09316	
rxn09317	
rxn09318	
rxn09320	P2-PWY	PWY-5796
rxn09322	
rxn09323	
rxn09326	
rxn09327	
rxn09329	
rxn09330	
rxn09331	
rxn09332	
rxn09333	
rxn09334	
rxn09335	
rxn09336	
rxn09337	
rxn09338	
rxn09339	
rxn09340	
rxn09341	
rxn09342	
rxn09345	POLYISOPRENSYN-PWY	PWY-5785	rn00900	rn01110
rxn09346	
rxn09347	
rxn09348	
rxn09349	
rxn09351	
rxn09352	
rxn09353	
rxn09354	
rxn09355	
rxn09356	
rxn09357	
rxn09358	
rxn09359	
rxn09360	
rxn09361	
rxn09363	
rxn09364	
rxn09365	
rxn09366	
rxn09368	
rxn09369	
rxn09370	
rxn09371	
rxn09372	
rxn09373	
rxn09374	
rxn09375	
rxn09377	
rxn09378	
rxn09379	
rxn09380	
rxn09381	
rxn09382	
rxn09383	
rxn09384	
rxn09385	
rxn09386	
rxn09387	
rxn09388	
rxn09389	
rxn09390	
rxn09391	
rxn09392	
rxn09395	
rxn09397	
rxn09398	
rxn09399	
rxn09400	
rxn09401	rn00520	rn01110
rxn09402	
rxn09412	
rxn09414	
rxn09417	
rxn09420	
rxn09421	
rxn09422	
rxn09423	
rxn09424	
rxn09425	
rxn09426	
rxn09427	
rxn09428	
rxn09429	
rxn09430	
rxn09431	
rxn09432	
rxn09433	
rxn09434	
rxn09435	
rxn09436	
rxn09437	
rxn09438	
rxn09439	
rxn09440	
rxn09441	
rxn09442	
rxn09443	
rxn09444	P221-PWY	PWY-6920
rxn09445	
rxn09446	
rxn09447	
rxn09448	
rxn09449	PWY-5143	PWY-5156	PWY-5885	PWY-5989	PWY-6113	PWY-6803	PWY-6873	PWY-7033
rxn09450	
rxn09451	
rxn09452	PWY-5156	PWY-5971	PWY-6113	PWY-6285
rxn09453	PWY-7094
rxn09454	
rxn09455	
rxn09456	PWY-5156	PWY-5989	PWY-6113	rn00061
rxn09457	
rxn09458	
rxn09459	
rxn09460	
rxn09461	
rxn09462	
rxn09463	
rxn09464	
rxn09465	
rxn09466	
rxn09467	
rxn09468	
rxn09469	
rxn09470	
rxn09471	
rxn09472	
rxn09473	
rxn09474	
rxn09475	PWY-5136	PWY-561	PWY-7007	PWY-7288	PWY66-391
rxn09476	PWY-5136	PWY-561	PWY-7007	PWY-7288	PWY66-391
rxn09477	PWY-5136	PWY-561	PWY-7007	PWY-7288	PWY66-391
rxn09478	PWY-5136	PWY-561	PWY-7007	PWY-7288	PWY66-391
rxn09479	PWY-5136	PWY-561	PWY-7007	PWY-7288	PWY66-391
rxn09480	
rxn09483	
rxn09486	
rxn09487	
rxn09490	
rxn09491	
rxn09498	
rxn09499	
rxn09502	
rxn09506	
rxn09507	
rxn09508	
rxn09509	
rxn09510	
rxn09511	
rxn09516	
rxn09517	
rxn09519	rn00460
rxn09521	
rxn09522	
rxn09523	
rxn09524	
rxn09525	
rxn09526	
rxn09527	
rxn09528	
rxn09529	
rxn09530	
rxn09531	
rxn09532	
rxn09535	
rxn09536	
rxn09537	
rxn09538	
rxn09539	
rxn09540	
rxn09541	
rxn09542	
rxn09543	
rxn09544	
rxn09545	
rxn09546	
rxn09547	
rxn09548	
rxn09549	
rxn09550	
rxn09551	
rxn09552	
rxn09553	
rxn09555	
rxn09556	
rxn09557	
rxn09559	
rxn09560	
rxn09561	
rxn09562	
rxn09563	
rxn09564	
rxn09565	
rxn09566	
rxn09567	
rxn09568	
rxn09569	
rxn09570	
rxn09571	
rxn09572	
rxn09573	
rxn09574	PWY-7235	PWY3O-19
rxn09575	
rxn09578	
rxn09579	
rxn09581	
rxn09582	
rxn09583	
rxn09584	
rxn09585	
rxn09586	
rxn09587	
rxn09588	
rxn09589	
rxn09590	
rxn09591	
rxn09592	
rxn09593	
rxn09594	
rxn09595	
rxn09596	
rxn09597	
rxn09598	
rxn09599	
rxn09600	
rxn09601	
rxn09602	
rxn09603	
rxn09604	
rxn09605	
rxn09606	
rxn09607	
rxn09608	
rxn09609	
rxn09611	
rxn09614	
rxn09615	
rxn09616	
rxn09617	
rxn09619	
rxn09621	
rxn09622	
rxn09623	
rxn09625	
rxn09626	
rxn09629	
rxn09630	
rxn09631	
rxn09632	
rxn09633	
rxn09637	
rxn09638	
rxn09639	
rxn09640	
rxn09641	
rxn09642	
rxn09643	
rxn09644	
rxn09645	
rxn09646	
rxn09647	
rxn09648	
rxn09649	
rxn09650	
rxn09651	
rxn09652	
rxn09653	
rxn09654	
rxn09655	
rxn09656	
rxn09657	
rxn09658	
rxn09659	
rxn09660	
rxn09661	
rxn09662	
rxn09663	
rxn09664	
rxn09665	
rxn09667	
rxn09668	
rxn09669	
rxn09670	
rxn09671	
rxn09672	
rxn09673	
rxn09674	
rxn09675	
rxn09676	
rxn09677	
rxn09678	
rxn09679	
rxn09680	
rxn09681	
rxn09682	
rxn09683	
rxn09684	
rxn09685	
rxn09686	
rxn09687	
rxn09688	
rxn09689	
rxn09690	
rxn09691	
rxn09692	
rxn09693	
rxn09694	
rxn09695	
rxn09696	
rxn09697	
rxn09698	
rxn09699	
rxn09700	
rxn09701	
rxn09702	
rxn09703	
rxn09704	
rxn09705	
rxn09706	
rxn09707	
rxn09708	
rxn09709	
rxn09710	
rxn09711	
rxn09712	
rxn09713	
rxn09714	
rxn09715	
rxn09716	
rxn09717	
rxn09718	
rxn09719	
rxn09720	
rxn09721	
rxn09722	
rxn09723	
rxn09724	
rxn09725	
rxn09726	
rxn09727	
rxn09728	
rxn09729	
rxn09730	
rxn09731	
rxn09732	
rxn09733	
rxn09734	
rxn09735	
rxn09736	
rxn09737	
rxn09738	
rxn09739	
rxn09740	
rxn09741	
rxn09742	
rxn09743	
rxn09744	
rxn09745	
rxn09746	
rxn09747	
rxn09748	
rxn09749	
rxn09750	
rxn09751	
rxn09752	
rxn09753	
rxn09754	
rxn09755	
rxn09756	
rxn09757	
rxn09758	
rxn09759	
rxn09760	
rxn09761	
rxn09762	
rxn09763	
rxn09764	
rxn09765	
rxn09766	
rxn09767	
rxn09768	
rxn09769	
rxn09770	
rxn09771	
rxn09772	
rxn09773	
rxn09774	PWY-6111
rxn09775	
rxn09776	
rxn09777	
rxn09778	
rxn09779	
rxn09780	
rxn09781	
rxn09782	
rxn09783	
rxn09784	
rxn09785	
rxn09786	
rxn09787	
rxn09788	
rxn09789	
rxn09790	
rxn09791	
rxn09792	
rxn09793	
rxn09794	
rxn09795	
rxn09796	
rxn09797	
rxn09798	
rxn09799	
rxn09800	
rxn09801	
rxn09802	
rxn09803	
rxn09804	
rxn09805	
rxn09806	
rxn09807	
rxn09808	
rxn09809	
rxn09810	
rxn09811	
rxn09812	
rxn09813	
rxn09814	
rxn09815	
rxn09816	
rxn09817	
rxn09818	
rxn09819	
rxn09820	
rxn09821	
rxn09822	
rxn09823	
rxn09824	
rxn09825	
rxn09826	
rxn09827	
rxn09828	
rxn09829	
rxn09830	
rxn09831	
rxn09832	
rxn09833	
rxn09834	
rxn09835	
rxn09836	
rxn09837	
rxn09838	
rxn09839	
rxn09840	
rxn09841	
rxn09842	
rxn09843	
rxn09844	
rxn09845	
rxn09846	
rxn09847	
rxn09848	
rxn09849	
rxn09850	
rxn09851	
rxn09852	
rxn09853	
rxn09854	
rxn09855	
rxn09856	
rxn09858	
rxn09859	PWY-6111
rxn09860	
rxn09861	
rxn09862	
rxn09863	
rxn09864	
rxn09865	
rxn09866	
rxn09867	
rxn09868	
rxn09869	
rxn09870	
rxn09871	
rxn09872	
rxn09873	
rxn09874	
rxn09875	
rxn09876	
rxn09878	
rxn09880	PWY-6117
rxn09882	PWY-3162
rxn09886	
rxn09888	
rxn09889	
rxn09896	
rxn09897	
rxn09898	
rxn09899	
rxn09900	
rxn09901	
rxn09902	
rxn09903	
rxn09904	
rxn09905	
rxn09906	
rxn09907	
rxn09908	
rxn09909	
rxn09910	
rxn09911	
rxn09912	
rxn09913	
rxn09914	
rxn09915	
rxn09916	
rxn09917	
rxn09918	
rxn09919	
rxn09920	
rxn09921	
rxn09922	
rxn09923	
rxn09924	
rxn09925	
rxn09926	
rxn09927	
rxn09928	
rxn09929	
rxn09930	
rxn09931	
rxn09932	
rxn09933	
rxn09934	
rxn09935	
rxn09936	
rxn09937	
rxn09938	
rxn09940	
rxn09941	
rxn09942	
rxn09944	PWY-6928	PWY-6937	PWY-6944	PWY-6947	PWY-7013	rn00622	rn00640	rn01220
rxn09948	
rxn09949	
rxn09950	
rxn09952	
rxn09953	PWY-6028
rxn09954	PWY-6491	PWY-6516	PWY-6626	rn00040
rxn09956	PWY-2501	PWY-2724
rxn09957	
rxn09958	PWY-2501	PWY-2724
rxn09959	
rxn09960	PWY-2501	PWY-2724
rxn09961	
rxn09963	
rxn09964	
rxn09967	PWY-5736
rxn09972	
rxn09973	
rxn09974	
rxn09975	P221-PWY
rxn09977	
rxn09978	
rxn09979	
rxn09983	
rxn09984	
rxn09988	
rxn09989	
rxn09991	
rxn09992	
rxn09995	
rxn09996	
rxn09997	
rxn10001	
rxn10002	
rxn10003	
rxn10005	
rxn10006	
rxn10007	
rxn10008	
rxn10010	PWY-6863
rxn10011	
rxn10012	
rxn10013	
rxn10014	
rxn10018	
rxn10019	
rxn10020	
rxn10021	
rxn10026	
rxn10029	
rxn10030	
rxn10034	
rxn10036	
rxn10038	
rxn10042	
rxn10043	
rxn10044	
rxn10045	
rxn10046	
rxn10048	
rxn10052	
rxn10053	
rxn10054	
rxn10055	
rxn10056	
rxn10057	
rxn10058	
rxn10059	
rxn10060	
rxn10061	
rxn10062	
rxn10063	
rxn10067	
rxn10073	
rxn10074	
rxn10075	
rxn10076	
rxn10077	
rxn10078	
rxn10079	
rxn10080	
rxn10081	
rxn10082	
rxn10083	
rxn10084	
rxn10085	
rxn10086	
rxn10087	
rxn10088	
rxn10089	
rxn10090	
rxn10091	
rxn10092	
rxn10093	
rxn10094	
rxn10095	
rxn10096	
rxn10097	
rxn10098	
rxn10099	
rxn10100	
rxn10101	
rxn10102	
rxn10103	
rxn10104	
rxn10105	
rxn10106	
rxn10107	
rxn10109	
rxn10110	
rxn10111	
rxn10112	
rxn10113	
rxn10114	
rxn10115	
rxn10116	
rxn10117	
rxn10118	
rxn10119	
rxn10120	
rxn10121	
rxn10122	
rxn10123	
rxn10124	
rxn10125	
rxn10126	
rxn10127	
rxn10128	
rxn10129	
rxn10130	
rxn10131	
rxn10132	
rxn10133	
rxn10134	
rxn10135	
rxn10136	
rxn10137	
rxn10138	
rxn10139	
rxn10140	
rxn10141	
rxn10142	
rxn10143	
rxn10144	
rxn10145	
rxn10146	
rxn10147	
rxn10148	
rxn10149	
rxn10150	
rxn10151	
rxn10152	
rxn10153	
rxn10154	
rxn10155	
rxn10156	
rxn10157	
rxn10158	
rxn10159	
rxn10160	
rxn10161	
rxn10162	
rxn10163	
rxn10164	
rxn10165	
rxn10167	
rxn10168	
rxn10169	
rxn10170	
rxn10171	
rxn10172	
rxn10173	
rxn10174	
rxn10175	
rxn10176	
rxn10177	
rxn10178	
rxn10179	
rxn10180	
rxn10181	
rxn10182	
rxn10183	
rxn10184	
rxn10185	
rxn10186	
rxn10187	
rxn10188	
rxn10191	
rxn10192	
rxn10193	
rxn10194	
rxn10195	
rxn10196	
rxn10197	
rxn10198	
rxn10199	
rxn10200	
rxn10201	
rxn10202	
rxn10203	
rxn10204	PHOSLIPSYN-PWY	PHOSLIPSYN2-PWY	PWY-5667	PWY4FS-8	TRIGLSYN-PWY
rxn10205	
rxn10206	
rxn10207	
rxn10208	
rxn10209	
rxn10210	
rxn10211	
rxn10212	
rxn10213	
rxn10214	
rxn10215	
rxn10216	
rxn10217	
rxn10218	
rxn10219	
rxn10220	
rxn10221	
rxn10222	
rxn10223	
rxn10224	
rxn10225	
rxn10226	
rxn10227	
rxn10228	
rxn10229	
rxn10230	
rxn10231	
rxn10232	
rxn10233	
rxn10234	
rxn10235	
rxn10236	
rxn10237	
rxn10238	
rxn10239	
rxn10240	
rxn10241	
rxn10242	
rxn10243	
rxn10244	
rxn10245	
rxn10246	
rxn10247	
rxn10248	
rxn10249	
rxn10250	
rxn10251	
rxn10252	
rxn10253	
rxn10254	
rxn10255	
rxn10256	
rxn10257	
rxn10258	
rxn10259	
rxn10260	
rxn10261	
rxn10262	
rxn10263	
rxn10264	
rxn10265	
rxn10266	
rxn10267	
rxn10268	
rxn10269	
rxn10270	
rxn10271	
rxn10272	
rxn10273	
rxn10274	
rxn10275	
rxn10276	
rxn10277	
rxn10278	
rxn10279	
rxn10280	
rxn10281	
rxn10282	
rxn10283	
rxn10284	
rxn10285	
rxn10286	
rxn10287	
rxn10288	
rxn10289	
rxn10290	
rxn10291	
rxn10292	
rxn10293	
rxn10294	
rxn10295	
rxn10296	
rxn10297	
rxn10298	
rxn10299	
rxn10300	
rxn10301	
rxn10302	
rxn10303	
rxn10304	
rxn10305	
rxn10306	
rxn10307	
rxn10308	
rxn10309	
rxn10310	
rxn10311	
rxn10312	
rxn10313	
rxn10314	
rxn10315	
rxn10316	
rxn10317	
rxn10318	
rxn10319	
rxn10320	
rxn10321	
rxn10322	
rxn10323	
rxn10324	
rxn10325	
rxn10326	
rxn10327	
rxn10328	
rxn10329	
rxn10330	
rxn10331	
rxn10332	
rxn10333	
rxn10334	
rxn10335	
rxn10336	
rxn10337	
rxn10338	
rxn10339	
rxn10340	
rxn10341	
rxn10342	
rxn10343	
rxn10344	
rxn10348	
rxn10363	
rxn10381	
rxn10382	
rxn10383	
rxn10398	
rxn10401	
rxn10403	
rxn10404	
rxn10405	
rxn10406	
rxn10407	
rxn10408	
rxn10409	
rxn10410	
rxn10415	
rxn10420	
rxn10421	
rxn10422	
rxn10423	
rxn10424	
rxn10425	P241-PWY	rn00680
rxn10426	
rxn10427	
rxn10429	
rxn10430	
rxn10431	
rxn10432	
rxn10433	
rxn10434	
rxn10435	
rxn10436	
rxn10437	
rxn10438	
rxn10439	PWY-7378
rxn10440	
rxn10441	
rxn10442	
rxn10443	
rxn10444	
rxn10445	
rxn10446	
rxn10447	
rxn10448	
rxn10449	
rxn10450	
rxn10451	
rxn10452	
rxn10453	
rxn10454	
rxn10455	
rxn10456	
rxn10457	
rxn10458	
rxn10459	
rxn10460	
rxn10461	
rxn10464	
rxn10465	
rxn10466	
rxn10467	
rxn10468	P241-PWY	rn00680	rn01210
rxn10469	P241-PWY	rn00680	rn01210
rxn10470	
rxn10471	
rxn10472	
rxn10473	
rxn10474	
rxn10475	P241-PWY	rn00680
rxn10476	P381-PWY	PWY-7376	rn00860
rxn10477	
rxn10478	
rxn10479	P261-PWY	PWY-6643
rxn10480	
rxn10481	
rxn10482	
rxn10483	
rxn10484	
rxn10485	
rxn10486	
rxn10487	
rxn10488	
rxn10489	
rxn10490	
rxn10491	
rxn10492	
rxn10493	
rxn10494	
rxn10495	
rxn10496	
rxn10497	
rxn10498	
rxn10499	
rxn10500	
rxn10501	
rxn10503	
rxn10504	PWY-6167	PWY-6168	rn00740
rxn10505	PWY-6167	PWY-6168	rn00740
rxn10506	PWY-6167	PWY-6168	rn00740
rxn10507	
rxn10508	
rxn10509	
rxn10510	
rxn10511	
rxn10512	
rxn10513	
rxn10514	
rxn10515	
rxn10516	
rxn10517	
rxn10518	
rxn10519	
rxn10520	
rxn10521	
rxn10522	
rxn10523	
rxn10524	
rxn10525	
rxn10526	
rxn10527	
rxn10528	
rxn10529	
rxn10530	
rxn10531	
rxn10532	
rxn10533	
rxn10534	rn00970
rxn10535	
rxn10536	
rxn10537	
rxn10538	
rxn10539	
rxn10540	
rxn10541	
rxn10542	
rxn10543	rn00790
rxn10544	
rxn10545	
rxn10546	
rxn10547	
rxn10548	
rxn10549	
rxn10550	
rxn10551	
rxn10552	
rxn10553	
rxn10554	
rxn10555	
rxn10556	
rxn10557	
rxn10558	
rxn10559	
rxn10560	
rxn10561	
rxn10562	
rxn10563	
rxn10564	
rxn10565	
rxn10566	
rxn10567	
rxn10568	rn00680	rn01200
rxn10569	
rxn10570	
rxn10571	
rxn10572	
rxn10573	
rxn10574	
rxn10575	
rxn10576	
rxn10577	
rxn10578	
rxn10579	
rxn10580	
rxn10581	
rxn10582	
rxn10583	
rxn10584	
rxn10585	
rxn10586	
rxn10587	
rxn10588	
rxn10589	
rxn10591	
rxn10592	
rxn10593	
rxn10594	PWY-5532
rxn10595	P241-PWY	rn00680	rn01210
rxn10596	P241-PWY	rn00680	rn01210
rxn10597	
rxn10598	
rxn10599	
rxn10600	
rxn10601	
rxn10602	
rxn10603	P261-PWY	PWY-6643
rxn10604	
rxn10605	
rxn10606	
rxn10607	
rxn10608	
rxn10609	P381-PWY	PWY-5443	PWY-5507	THREOCAT-PWY	rn00860
rxn10610	
rxn10611	
rxn10612	
rxn10613	rn00680	rn01200
rxn10614	
rxn10615	
rxn10616	
rxn10617	
rxn10618	
rxn10619	
rxn10620	
rxn10621	
rxn10622	
rxn10623	
rxn10624	
rxn10625	
rxn10626	
rxn10628	
rxn10629	
rxn10630	
rxn10631	
rxn10632	
rxn10633	
rxn10634	
rxn10635	
rxn10636	
rxn10637	
rxn10638	
rxn10639	
rxn10640	
rxn10641	
rxn10642	
rxn10643	
rxn10644	
rxn10645	
rxn10646	
rxn10647	
rxn10648	
rxn10649	
rxn10650	
rxn10651	
rxn10652	
rxn10653	
rxn10654	
rxn10655	
rxn10656	
rxn10657	
rxn10658	
rxn10659	
rxn10660	
rxn10661	
rxn10662	
rxn10663	
rxn10664	
rxn10665	
rxn10666	
rxn10667	
rxn10668	
rxn10669	
rxn10670	
rxn10671	
rxn10672	
rxn10673	
rxn10674	
rxn10675	
rxn10676	
rxn10677	
rxn10678	
rxn10679	
rxn10680	
rxn10681	
rxn10682	
rxn10683	
rxn10684	
rxn10685	
rxn10686	
rxn10687	
rxn10688	
rxn10689	
rxn10690	
rxn10691	
rxn10692	
rxn10693	
rxn10694	
rxn10695	
rxn10696	
rxn10697	
rxn10698	
rxn10699	
rxn10700	
rxn10701	
rxn10702	
rxn10703	
rxn10704	
rxn10705	
rxn10706	
rxn10707	
rxn10708	
rxn10709	
rxn10710	
rxn10711	
rxn10712	
rxn10713	
rxn10714	
rxn10715	
rxn10716	
rxn10717	
rxn10718	
rxn10719	
rxn10720	
rxn10721	
rxn10722	
rxn10723	
rxn10724	
rxn10725	
rxn10726	
rxn10727	
rxn10728	
rxn10729	
rxn10730	
rxn10731	
rxn10732	
rxn10733	
rxn10734	
rxn10735	
rxn10736	
rxn10737	
rxn10738	
rxn10739	
rxn10740	
rxn10741	
rxn10742	
rxn10743	
rxn10744	
rxn10745	
rxn10746	
rxn10747	
rxn10748	
rxn10749	
rxn10750	
rxn10751	
rxn10752	
rxn10753	
rxn10754	
rxn10755	
rxn10756	
rxn10757	
rxn10758	
rxn10759	
rxn10760	
rxn10761	
rxn10762	
rxn10763	
rxn10764	
rxn10765	
rxn10766	
rxn10767	
rxn10768	
rxn10769	
rxn10770	PWY-3722	rn00260
rxn10771	
rxn10772	
rxn10773	
rxn10774	
rxn10775	
rxn10776	
rxn10777	
rxn10778	
rxn10779	
rxn10780	
rxn10783	
rxn10784	
rxn10785	PWY-5806	PWY-5872	PWY-5896	rn00900	rn01110
rxn10786	
rxn10787	
rxn10789	
rxn10790	
rxn10791	
rxn10792	
rxn10793	
rxn10794	
rxn10795	
rxn10796	
rxn10797	
rxn10798	
rxn10799	
rxn10800	
rxn10801	
rxn10802	
rxn10803	
rxn10804	
rxn10805	
rxn10806	
rxn10807	
rxn10808	
rxn10809	
rxn10810	
rxn10811	
rxn10812	
rxn10813	
rxn10814	
rxn10815	
rxn10816	
rxn10817	
rxn10818	
rxn10819	
rxn10820	
rxn10822	
rxn10823	
rxn10824	
rxn10825	
rxn10826	
rxn10827	
rxn10828	
rxn10829	
rxn10830	
rxn10831	
rxn10832	
rxn10833	
rxn10834	
rxn10835	
rxn10836	
rxn10837	
rxn10838	
rxn10839	
rxn10840	
rxn10841	
rxn10842	
rxn10843	
rxn10844	
rxn10845	
rxn10846	
rxn10847	
rxn10848	
rxn10849	
rxn10850	
rxn10851	
rxn10852	LACTOSECAT-PWY
rxn10854	
rxn10855	
rxn10856	
rxn10857	
rxn10858	
rxn10859	
rxn10860	
rxn10861	
rxn10862	
rxn10863	
rxn10864	
rxn10865	
rxn10866	
rxn10867	
rxn10868	
rxn10869	
rxn10870	
rxn10871	
rxn10872	
rxn10873	
rxn10874	
rxn10875	
rxn10876	
rxn10877	
rxn10878	
rxn10879	
rxn10880	
rxn10881	
rxn10882	
rxn10883	
rxn10886	
rxn10887	
rxn10888	
rxn10889	
rxn10890	
rxn10892	
rxn10893	
rxn10894	
rxn10895	
rxn10897	
rxn10898	
rxn10899	
rxn10900	
rxn10901	
rxn10902	
rxn10904	
rxn10905	
rxn10906	
rxn10907	
rxn10908	
rxn10909	
rxn10910	
rxn10911	
rxn10913	
rxn10916	
rxn10917	
rxn10918	
rxn10919	
rxn10920	
rxn10921	
rxn10923	
rxn10925	
rxn10926	
rxn10928	
rxn10929	
rxn10932	
rxn10933	
rxn10935	
rxn10936	
rxn10937	
rxn10939	
rxn10941	
rxn10944	
rxn10945	
rxn10946	
rxn10947	
rxn10949	
rxn10951	
rxn10952	
rxn10954	
rxn10957	
rxn10960	
rxn10963	
rxn10964	
rxn10965	
rxn10966	
rxn10967	
rxn10968	
rxn10969	
rxn10972	
rxn10974	
rxn10976	
rxn10977	
rxn10978	
rxn10979	
rxn10980	
rxn10981	
rxn10984	
rxn10985	
rxn10986	
rxn10987	
rxn10988	
rxn10989	
rxn10990	
rxn10991	
rxn10992	
rxn10993	
rxn10994	
rxn10995	
rxn10996	
rxn10997	
rxn10998	
rxn10999	
rxn11000	
rxn11002	
rxn11003	
rxn11004	
rxn11005	
rxn11006	
rxn11007	
rxn11009	
rxn11012	
rxn11013	
rxn11014	
rxn11015	
rxn11016	
rxn11018	
rxn11020	
rxn11023	
rxn11024	
rxn11025	
rxn11026	
rxn11027	
rxn11029	
rxn11031	
rxn11033	PWY-4361	PWY-7270	PWY-7527	PWY-7528	rn00270
rxn11035	
rxn11036	
rxn11037	
rxn11038	
rxn11039	PWY-6507	PWY-6516
rxn11040	P122-PWY	RUMP-PWY
rxn11041	
rxn11042	
rxn11043	
rxn11044	
rxn11047	
rxn11048	
rxn11049	
rxn11050	
rxn11051	
rxn11052	
rxn11053	
rxn11054	
rxn11055	
rxn11056	
rxn11057	
rxn11058	
rxn11059	
rxn11060	
rxn11061	
rxn11062	
rxn11063	
rxn11065	
rxn11066	
rxn11071	
rxn11072	
rxn11073	
rxn11074	
rxn11075	
rxn11076	
rxn11077	
rxn11078	
rxn11079	
rxn11080	
rxn11081	
rxn11082	
rxn11083	
rxn11084	
rxn11089	
rxn11090	
rxn11091	
rxn11092	
rxn11093	
rxn11094	
rxn11095	
rxn11096	
rxn11097	
rxn11099	
rxn11100	
rxn11101	
rxn11102	
rxn11104	
rxn11105	
rxn11106	
rxn11107	
rxn11108	
rxn11109	
rxn11110	
rxn11111	
rxn11112	
rxn11113	
rxn11114	
rxn11115	
rxn11116	
rxn11117	
rxn11118	
rxn11119	
rxn11120	
rxn11121	
rxn11122	
rxn11123	
rxn11125	
rxn11126	
rxn11127	
rxn11128	
rxn11129	
rxn11130	
rxn11132	PWY-7685
rxn11136	
rxn11137	
rxn11139	
rxn11140	
rxn11141	
rxn11142	
rxn11143	
rxn11144	
rxn11145	
rxn11146	
rxn11147	
rxn11148	
rxn11149	
rxn11150	
rxn11151	
rxn11152	
rxn11155	
rxn11156	rn00130	rn01110
rxn11157	
rxn11158	
rxn11159	
rxn11160	
rxn11161	
rxn11162	
rxn11163	
rxn11164	
rxn11165	
rxn11166	
rxn11167	
rxn11168	
rxn11169	
rxn11170	
rxn11171	
rxn11172	
rxn11174	
rxn11175	
rxn11176	
rxn11177	
rxn11179	
rxn11180	
rxn11181	
rxn11182	
rxn11183	
rxn11185	
rxn11186	
rxn11187	
rxn11188	
rxn11189	
rxn11190	
rxn11192	
rxn11193	
rxn11194	
rxn11195	
rxn11196	
rxn11197	
rxn11198	
rxn11199	
rxn11200	PWY-5082
rxn11201	PWY-7432
rxn11202	
rxn11203	
rxn11204	
rxn11205	
rxn11206	
rxn11207	
rxn11208	
rxn11209	
rxn11210	
rxn11213	
rxn11214	
rxn11215	
rxn11216	
rxn11217	
rxn11218	
rxn11219	
rxn11220	
rxn11221	
rxn11223	
rxn11224	
rxn11225	
rxn11226	
rxn11227	
rxn11228	
rxn11229	
rxn11230	
rxn11231	
rxn11232	
rxn11233	
rxn11234	
rxn11235	
rxn11236	
rxn11242	
rxn11243	
rxn11244	
rxn11245	rn01210	rn01230
rxn11247	
rxn11251	
rxn11252	
rxn11253	
rxn11254	
rxn11255	
rxn11257	
rxn11258	
rxn11259	
rxn11260	
rxn11261	
rxn11262	
rxn11263	
rxn11267	
rxn11268	
rxn11269	
rxn11274	
rxn11276	PRPP-PWY	PWY-7176	PWY-7177	PWY-7185	PWY-7196	PWY-7208	PWY-7211	PWY0-162	rn00240
rxn11277	
rxn11279	
rxn11283	
rxn11284	
rxn11285	
rxn11286	
rxn11287	
rxn11288	
rxn11289	
rxn11290	
rxn11291	
rxn11292	
rxn11293	
rxn11294	
rxn11295	
rxn11296	
rxn11297	
rxn11298	
rxn11300	rn00230
rxn11301	
rxn11302	
rxn11303	
rxn11304	
rxn11305	
rxn11306	
rxn11307	
rxn11308	
rxn11309	
rxn11310	
rxn11311	
rxn11312	
rxn11313	
