reaction_id	pathway_ids (KEGG and Metacyc
rxn00148	ANAEROFRUCAT-PWY	ANAGLYCOLYSIS-PWY	FERMENTATION-PWY	HEXITOLDEGSUPER-PWY	NPGLUCAT-PWY	P122-PWY	P124-PWY	P341-PWY	P441-PWY	P461-PWY	PWY-1042	PWY-2221	PWY-5464	PWY-5484	PWY-5723	PWY-6142	PWY-6146	PWY-6886	PWY-6901	PWY-7003	PWY-7218	PWY-7345	PWY-7383	PWY-7389	PWY-8004	rn00010	rn00230	rn00620	rn01110	rn01200	rn01230
rxn00149	PWY-5456	rn00620
rxn00150	PWY-5462	rn00620
rxn00151	PWY-241	PWY-6549	PWY-7115	PWY-7117	rn00620	rn00710	rn00720	rn01200
rxn00152	rn00620
rxn00153	
rxn00154	P41-PWY	PWY-5482	PWY-5537	PWY-6886	PWY-7218	PWY-7384	PWY-7389	rn01200
rxn00155	PWY-6970
rxn00156	rn00620
rxn00157	FERMENTATION-PWY	P441-PWY	P461-PWY	PWY-5480	PWY-5485	PWY-5493	PWY4LZ-257	rn00620	rn00650
rxn00158	
rxn00159	GLUCONEO-PWY	PWY-3641	PWY-7115	PWY-7118	PWY-7384	PWY-7389	PWY-7686	(Carnitine	(L-carnitine	rn00620	rn00710	rn01200
rxn00160	PWY0-1465	rn00650
rxn00161	GLUCONEO-PWY	PWY-241	PWY-7117	rn00620	rn00710	rn01200
rxn00162	METHYLGALLATE-DEGRADATION-PWY	P184-PWY	PWY-6338	PWY-6339	rn00620
rxn00163	rn00620
rxn00164	rn00620
rxn00165	rn00260	rn01110	rn01200	rn01230
rxn00166	rn00260
rxn00168	PWY-5486	PWY-5768	PWY-6330	PWY-6873	PWY-7118	PWY-7345	PWY3O-440	PWY4LZ-257
rxn00170	rn00620
rxn00171	ETOH-ACETYLCOA-ANA-PWY	FERMENTATION-PWY	P122-PWY	P161-PWY	P441-PWY	P461-PWY	PHOSPHONOTASE-PWY	PWY-2504	PWY-5162	PWY-5178	PWY-5179	PWY-5180	PWY-5182	PWY-5183	PWY-5266	PWY-5273	PWY-5415	PWY-5420	PWY-5430	PWY-5436	PWY-5480	PWY-5655	PWY-6505	PWY-6587	PWY-6594	PWY-6604	PWY-6954	PWY-6956	PWY-6957	PWY-7085	PWY-7180	PWY0-1277	PWY0-1297	PWY0-1298	PWY0-1477	PWY4LZ-257	THREOCAT-PWY	rn00360	rn00362	rn00620	rn00621	rn00622	rn01220
rxn00172	P162-PWY	PWY-5096	PWY-5483	PWY-5535	PWY-7401	PWY-7402	rn00010	rn00620
rxn00173	ACETATEUTIL-PWY	ARGORNPROST-PWY	FERMENTATION-PWY	METH-ACETATE-PWY	P122-PWY	P142-PWY	P161-PWY	P163-PWY	P3-PWY	P41-PWY	P441-PWY	P461-PWY	PROPFERM-PWY	PWY-1281	PWY-1541	PWY-5100	PWY-5327	PWY-5482	PWY-5485	PWY-5497	PWY-5600	PWY-5676	PWY-6590	PWY-6604	PWY-6637	PWY-6641	PWY-6830	PWY0-1312	PWY0-1477	PWY4LZ-257	rn00430	rn00620	rn00680	rn00720	rn01200
rxn00174	rn00410	rn00640
rxn00175	ACETATEUTIL-PWY	PWY-6672	PWY-7118	PWY0-1313	PWY66-161	PWY66-162	PWY66-21	rn00010	rn00680	rn00720	rn01110	rn01200
rxn00176	rn00620
rxn00177	PWY-5744	PWY-5749	PWY-7024	rn00660	rn00720	rn01200
rxn00178	ACETOACETATE-DEG-PWY	CENTFERM-PWY	ERGOSTEROL-SYN-PWY	GLUDEG-II-PWY	P162-PWY	P163-PWY	PWY-5177	PWY-5184	PWY-5327	PWY-5676	PWY-5741	PWY-5789	PWY-5910	PWY-6146	PWY-6174	PWY-6583	PWY-6588	PWY-6590	PWY-6594	PWY-6604	PWY-6863	PWY-6876	PWY-6883	PWY-6886	PWY-7003	PWY-7216	PWY-7218	PWY-7391	PWY-7401	PWY-7402	PWY-7524	PWY-7778	PWY-7779	PWY-922	PWY1-3	PWY66-367	PWY66-368	PWY66-5	rn00071	rn00072	rn00280	rn00310	rn00362	rn00380	rn00620	rn00630	rn00640	rn00650	rn00720	rn00900	rn01110	rn01200	rn01212
rxn00179	ARGININE-SYN4-PWY	CITRULBIO-PWY	PROSYN-PWY	PWY-3341	PWY-5004	PWY-6922	(L-ornithine	L-Ornithine-Biosynthesis	</sup></i>-acetylornithine	rn00330	rn01230
rxn00180	
rxn00181	
rxn00182	ALACAT2-PWY	ARGININE-SYN4-PWY	GLUDEG-I-PWY	GLUTAMATE-DEG1-PWY	GLUTAMATE-SYN2-PWY	P162-PWY	PROPFERM-PWY	PWY-5022	PWY-5505	PWY-5766	PWY-6728	PWY-7126	(L-ornithine	L-Ornithine-Biosynthesis	rn00250	rn00330	rn00430	rn00471	rn00910
